agent_id,agent_type,hyperparams,num_episodes (train),avg return train,stdev return train,max return train,execution time (sec) train,VRAM usage (GB) train,Energy usage (J) train,p_val_cuml_return_train_>,W-statistic_cuml,num_episodes (eval),avg return eval,stdev return eval,max return eval,execution time (sec) eval,VRAM usage (GB) eval,Energy usage (J) eval,p_val_return_eval_>,W-statistic_return_eval
random,random,{},1000.0,-181.164,111.128,46.176,207.075,0.157,394.98,0.5,0.0,2.0,-176.356,105.174,-176.299,0.018,0.0,0.0,0.5,0.0
GPQ (SVGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 512, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': None, 'mean_type': 'constant'}]}",1000.0,-163.964,138.77,272.84,2527.861,0.164,194220.091,1.0,-5.332,30.0,-143.553,59.663,-56.897,101.212,0.158,3684.19,0.092,1.328
GPQ (SVGP),gpq_agent,{},,,,,,,,,,30.0,-143.553,59.663,-56.897,101.212,0.158,3684.19,0.092,1.328
random,random,{},,,,,,,,,,2.0,-176.356,105.174,-176.299,0.018,0.0,0.0,0.5,0.0
GPQ (DGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",1000.0,-102.77,117.154,285.583,11067.474,2.822,782401.334,0.0,13.595,30.0,-43.724,85.181,283.105,519.789,-0.049,19490.422,0.0,5.829
GPQ (SVGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
GPQ (DGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
random,random,{},,,,,,,,,,2.0,-176.356,105.174,-176.299,0.018,0.0,0.0,0.5,0.0
GPSARSA (DGP),gpsarsa_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 128, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': 1, 'mean_type': 'linear'}, {'output_dims': None, 'mean_type': 'constant'}]}",1000.0,-226.702,137.941,244.696,4099.396,0.524,226691.546,1.0,-33.037,30.0,-167.562,87.87,-39.492,116.304,0.0,4485.328,0.507,-0.018
GPQ (SVGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
GPQ (DGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
GPSARSA (DGP),gpsarsa_agent,{},,,,,,,,,,,,,,,,,,
random,random,{},,,,,,,,,,2.0,-176.356,105.174,-176.299,0.018,0.0,0.0,0.5,0.0
DQN (MLP),sb_dqn,"{'policy': 'MlpPolicy', 'learning_rate': 0.00063, 'batch_size': 128, 'buffer_size': 50000, 'learning_starts': 0, 'gamma': 0.99, 'target_update_interval': 250, 'train_freq': 4, 'gradient_steps': -1, 'exploration_fraction': 0.12, 'exploration_final_eps': 0.1, 'policy_kwargs': {'net_arch': [256, 256]}}",1000.0,122.949,140.246,323.927,75.171,0.0,2445.88,0.0,38.644,30.0,183.364,116.467,318.673,3.415,0.0,113.9,0.0,8.424
GPQ (SVGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
GPQ (DGP),gpq_agent,{},,,,,,,,,,,,,,,,,,
GPSARSA (DGP),gpsarsa_agent,{},,,,,,,,,,,,,,,,,,
DQN (MLP),sb_dqn,{},,,,,,,,,,,,,,,,,,
random,random,{},,,,,,,,,,2.0,-176.356,105.174,-176.299,0.018,0.0,0.0,0.5,0.0
GPQ2 (SVGP),gpq_agent,"{'gp_model_str': 'deep_gp', 'discount_factor': 0.99, 'batch_size': 128, 'replay_buffer_size': 128, 'exploring_starts': 0, 'max_dataset_size': 20000, 'kernel_type': 'matern', 'sparsification_threshold': None, 'strategy': 'thompson_sampling', 'posterior_observation_noise': False, 'num_inducing_points': 512, 'gp_fit_num_epochs': 1, 'gp_fit_batch_size': 512, 'gp_fit_num_batches': 7, 'gp_fit_learning_rate': 0.005, 'gp_fit_random_batching': True, 'dgp_hidden_layers_config': [{'output_dims': None, 'mean_type': 'constant'}]}",2.0,-88.475,22.487,-72.574,3.979,0.429,92.706,0.007,2.446,,,,,,,,,
